id,label
1,deer
2,airplane
3,truck
4,ship
5,deer
6,cat
7,bird
8,cat
9,cat
10,cat
11,bird
12,cat
13,cat
14,cat
15,cat
16,ship
17,bird
18,deer
19,ship
20,bird
21,deer
22,cat
23,frog
24,automobile
25,cat
26,automobile
27,automobile
28,cat
29,deer
30,cat
31,bird
32,horse
33,cat
34,cat
35,deer
36,cat
37,frog
38,cat
39,ship
40,cat
41,frog
42,deer
43,truck
44,deer
45,horse
46,automobile
47,deer
48,frog
49,airplane
50,truck
51,bird
52,dog
53,cat
54,frog
55,ship
56,ship
57,cat
58,bird
59,airplane
60,cat
61,deer
62,dog
63,deer
64,frog
65,ship
66,horse
67,ship
68,horse
69,cat
70,bird
71,truck
72,bird
73,truck
74,cat
75,frog
76,horse
77,airplane
78,cat
79,deer
80,cat
81,dog
82,deer
83,ship
84,bird
85,deer
86,frog
87,dog
88,bird
89,horse
90,truck
91,automobile
92,airplane
93,bird
94,horse
95,automobile
96,frog
97,deer
98,bird
99,truck
100,deer
101,deer
102,deer
103,cat
104,cat
105,ship
106,bird
107,automobile
108,deer
109,frog
110,frog
111,horse
112,bird
113,deer
114,ship
115,truck
116,horse
117,dog
118,horse
119,cat
120,frog
121,deer
122,truck
123,horse
124,cat
125,ship
126,cat
127,frog
128,cat
129,ship
130,horse
131,cat
132,horse
133,cat
134,frog
135,ship
136,cat
137,deer
138,frog
139,cat
140,automobile
141,cat
142,cat
143,cat
144,deer
145,deer
146,horse
147,cat
148,automobile
149,cat
150,frog
151,horse
152,dog
153,dog
154,truck
155,truck
156,horse
157,dog
158,ship
159,frog
160,deer
161,cat
162,cat
163,dog
164,cat
165,frog
166,automobile
167,frog
168,cat
169,cat
170,frog
171,cat
172,frog
173,cat
174,frog
175,frog
176,ship
177,cat
178,automobile
179,cat
180,automobile
181,frog
182,truck
183,deer
184,frog
185,ship
186,horse
187,ship
188,horse
189,cat
190,airplane
191,automobile
192,ship
193,airplane
194,cat
195,truck
196,deer
197,automobile
198,cat
199,ship
200,deer
201,ship
202,cat
203,airplane
204,cat
205,airplane
206,bird
207,cat
208,deer
209,cat
210,cat
211,automobile
212,horse
213,cat
214,frog
215,cat
216,cat
217,cat
218,bird
219,cat
220,truck
221,frog
222,automobile
223,dog
224,bird
225,cat
226,bird
227,horse
228,horse
229,deer
230,horse
231,ship
232,bird
233,bird
234,deer
235,horse
236,frog
237,deer
238,deer
239,truck
240,airplane
241,cat
242,cat
243,bird
244,deer
245,cat
246,deer
247,deer
248,truck
249,horse
250,ship
251,cat
252,airplane
253,frog
254,airplane
255,dog
256,deer
257,cat
258,ship
259,deer
260,airplane
261,cat
262,automobile
263,horse
264,horse
265,frog
266,frog
267,cat
268,dog
269,cat
270,automobile
271,bird
272,airplane
273,dog
274,cat
275,horse
276,cat
277,cat
278,cat
279,cat
280,cat
281,dog
282,deer
283,cat
284,cat
285,deer
286,automobile
287,ship
288,truck
289,cat
290,deer
291,ship
292,cat
293,airplane
294,bird
295,ship
296,frog
297,frog
298,dog
299,ship
300,truck
301,cat
302,frog
303,frog
304,bird
305,bird
306,automobile
307,airplane
308,dog
309,cat
310,deer
311,automobile
312,ship
313,deer
314,truck
315,horse
316,frog
317,cat
318,deer
319,cat
320,frog
321,frog
322,horse
323,ship
324,cat
325,horse
326,ship
327,deer
328,dog
329,deer
330,truck
331,bird
332,cat
333,bird
334,bird
335,deer
336,deer
337,horse
338,truck
339,cat
340,ship
341,ship
342,frog
343,deer
344,bird
345,cat
346,cat
347,cat
348,horse
349,cat
350,truck
351,bird
352,truck
353,bird
354,cat
355,ship
356,cat
357,bird
358,frog
359,airplane
360,frog
361,horse
362,bird
363,airplane
364,cat
365,frog
366,deer
367,horse
368,cat
369,ship
370,deer
371,frog
372,truck
373,cat
374,bird
375,truck
376,airplane
377,frog
378,cat
379,automobile
380,cat
381,truck
382,ship
383,airplane
384,ship
385,cat
386,cat
387,ship
388,cat
389,bird
390,cat
391,frog
392,frog
393,deer
394,frog
395,deer
396,bird
397,frog
398,deer
399,cat
400,bird
401,automobile
402,deer
403,horse
404,frog
405,deer
406,ship
407,automobile
408,truck
409,bird
410,bird
411,horse
412,deer
413,frog
414,airplane
415,truck
416,deer
417,deer
418,deer
419,frog
420,cat
421,frog
422,cat
423,cat
424,deer
425,ship
